"",BBK01.TSD303O,BBK01.TSD303O_FLAGS,BBK01.TSD302,BBK01.TSD302_FLAGS,BBK01.TSD304,BBK01.TSD304_FLAGS,BBK01.TSD305,BBK01.TSD305_FLAGS,BBK01.TSD306,BBK01.TSD306_FLAGS,BBK01.TS5379O,BBK01.TS5379O_FLAGS,BBK01.TS1353,BBK01.TS1353_FLAGS,BBK01.TZ5353O,BBK01.TZ5353O_FLAGS,BBK01.TZ4952,BBK01.TZ4952_FLAGS,BBK01.TZ4954,BBK01.TZ4954_FLAGS,BBK01.TZ4955,BBK01.TZ4955_FLAGS,BBK01.TZ4956,BBK01.TZ4956_FLAGS,BBK01.TZ5379O,BBK01.TZ5379O_FLAGS,BBK01.TZ1303,BBK01.TZ1303_FLAGS,BBK01.TS5303O,BBK01.TS5303O_FLAGS,BBK01.AY4952,BBK01.AY4952_FLAGS,BBK01.AY4954,BBK01.AY4954_FLAGS,BBK01.AY4955,BBK01.AY4955_FLAGS,BBK01.AY4956,BBK01.AY4956_FLAGS,BBK01.TS5329O,BBK01.TS5329O_FLAGS,BBK01.TS1303,BBK01.TS1303_FLAGS
1995-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.55746,,52.11215,,30.01963,,41.26326,,83.91164,,20.00428,,,
1995-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.85166,,52.41377,,30.18317,,41.03267,,84.96135,,20.18527,,,
1995-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.10955,,52.74236,,30.42092,,40.74089,,86.20484,,19.82926,,,
1995-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51705,,53.11578,,30.80459,,40.34234,,87.59810,,20.43522,,,
1995-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.09180,,53.59897,,31.48362,,39.97359,,88.85651,,21.63862,,,
1995-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36598,,53.72424,,31.88239,,38.61258,,90.32343,,23.05613,,,
1996-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.05721,,54.17417,,31.92905,,38.74308,,92.00020,,25.55485,,,
1996-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.37903,,54.61076,,32.23879,,38.47690,,93.64318,,24.89783,,,
1996-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.64199,,54.82943,,32.45522,,37.62267,,95.19585,,25.46756,,,
1996-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.80090,,55.36643,,32.90866,,37.40713,,96.73873,,22.56710,,,
1996-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.81666,,55.47725,,32.97857,,36.96667,,97.63738,,21.81812,,,
1996-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.92292,,55.67143,,33.17585,,36.56447,,98.62017,,21.20028,,,
1996-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.15256,,56.04454,,33.56526,,36.35982,,99.69429,,20.23800,,,
1996-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.38866,,56.33063,,33.78683,,36.22669,,100.60060,,20.03022,,,
1996-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.69062,,56.74485,,34.34029,,36.15370,,101.44697,,19.37707,,,
1996-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.88192,,56.97888,,34.82028,,35.41671,,102.44349,,19.19100,,,
1996-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.07892,,57.21752,,35.34823,,34.91184,,103.25035,,19.01814,,,
1996-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.37644,,57.58808,,35.55128,,35.09834,,104.28221,,18.67581,,,
1997-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.98542,,58.19372,,35.85024,,35.72725,,105.30850,,19.19993,,,
1997-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.07148,,58.31798,,36.06243,,35.25381,,106.03458,,18.96404,,,
1997-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.10792,,58.41377,,36.28978,,34.60239,,106.74770,,18.51825,,,
1997-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.50664,,58.79878,,36.55760,,34.83158,,107.51420,,18.95381,,,
1997-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.71897,,59.04140,,36.98701,,34.58293,,108.17163,,18.88441,,,
1997-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.76429,,59.13044,,37.18364,,34.26103,,108.63698,,18.57104,,,
1997-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.05217,,59.44862,,37.77015,,34.03187,,109.22592,,18.56338,,,
1997-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.26733,,59.66213,,38.10192,,33.86153,,109.86271,,18.74950,,,
1997-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.41513,,59.81301,,38.16162,,33.87746,,110.43512,,18.84450,,,
1997-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.47258,,59.92537,,38.32569,,33.93473,,110.65712,,18.46438,,,
1997-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.71459,,60.15290,,38.35580,,34.33639,,111.10995,,18.77089,,,
1997-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.95922,,60.43277,,38.53397,,34.70501,,111.47526,,18.69335,,,
1998-01,,,,,,,,,,,,,4244.4,,,,,,,,,,,,,,25.9,,56.93744,,60.40370,,38.44912,,34.51752,,111.81065,,18.73252,,45.96966,
1998-02,,,,,,,,,,,,,4255.4,,,,,,,,,,,,,,11.6,,57.27169,,60.70172,,38.87214,,34.47683,,112.24741,,19.28171,,46.09566,
1998-03,,,,,,,,,,,,,4267.9,,,,,,,,,,,,,,11.0,,57.61909,,61.02118,,39.49712,,34.32398,,112.69312,,19.77708,,46.21532,
1998-04,,,,,,,,,,,,,4298.5,,,,,,,,,,,,,,34.4,,58.12122,,61.57988,,40.43601,,34.57661,,112.97320,,19.74044,,46.58734,
1998-05,,,,,,,,,,,,,4316.0,,,,,,,,,,,,,,12.5,,58.15377,,61.56625,,40.16872,,34.62838,,113.37128,,20.12589,,46.72429,
1998-06,,,,,,,,,,,,,4340.9,,,,,,,,,,,,,,26.6,,58.45576,,61.85725,,40.69438,,34.45662,,113.91138,,20.45413,,47.01210,
1998-07,,,,,,,,,,,,,4362.6,,,,,,,,,,,,,,23.4,,58.73129,,62.03929,,40.55332,,34.97146,,114.25071,,21.40432,,47.26566,
1998-08,,,,,,,,,,,,,4368.2,,,,,,,,,,,,,,5.4,,59.34833,,62.67209,,41.72536,,35.13334,,114.57621,,21.77742,,47.32375,
1998-09,,,,,,,,,,,,,4371.4,,,,,,,,,,,,,,9.2,,59.57535,,62.87459,,42.28336,,34.99070,,114.89909,,22.15130,,47.42301,
1998-10,,,,,,,,,,,,,4410.0,,,,,,,,,,,,,,37.9,,60.05506,,63.33569,,43.13022,,34.97806,,115.34356,,22.68290,,47.83381,
1998-11,,,,,,,,,,,,,4417.2,,,,,,,,,,,,,,4.8,,60.64606,,63.81186,,43.55360,,35.52852,,115.83545,,24.05399,,47.88566,
1998-12,,,,,,,,,,,,,4423.0,,,,,,,,,,,,,,8.2,,61.62560,,65.05080,,44.65118,,37.55487,,116.37069,,22.81827,,47.97423,
1999-01,1279.2,,1242.2,,383.3,,240.7,,496.9,,37.0,,4447.2,,19.8,,20.3,,11.4,,7.5,,1.1,,-0.5,,75.0,,62.58429,,66.12866,,46.02604,,38.74299,,116.63171,,22.56346,,48.78619,
1999-02,1284.4,,1245.5,,385.3,,239.4,,499.4,,38.8,,4437.0,,4.9,,3.1,,1.9,,-1.3,,2.6,,1.8,,-13.1,,62.82265,,66.29241,,46.24999,,38.52972,,117.23150,,23.65865,,48.64195,
1999-03,1295.0,,1253.4,,386.7,,242.6,,499.9,,41.6,,4453.5,,10.1,,7.3,,1.3,,2.9,,0.3,,2.8,,16.1,,63.31589,,66.68233,,46.40315,,39.00414,,117.30592,,25.33997,,48.81944,
1999-04,1308.8,,1259.9,,393.7,,239.7,,502.8,,48.9,,4488.4,,11.0,,6.4,,6.9,,-3.0,,3.0,,4.6,,30.6,,63.85577,,67.02255,,47.23549,,38.52834,,118.00303,,28.17157,,49.15386,
1999-05,1324.8,,1269.0,,400.8,,237.6,,506.7,,55.7,,4505.3,,15.9,,9.0,,7.0,,-2.1,,3.9,,6.8,,15.7,,64.62977,,67.50330,,48.07152,,38.18340,,118.90769,,32.10360,,49.32544,
1999-06,1334.0,,1279.5,,411.1,,235.2,,508.4,,54.5,,4537.1,,9.1,,10.4,,10.3,,-2.4,,1.8,,-1.3,,29.8,,65.07386,,68.05496,,49.31088,,37.78985,,119.31843,,31.37337,,49.65213,
1999-07,1335.0,,1281.0,,410.6,,235.3,,509.6,,54.1,,4566.0,,1.4,,1.7,,-0.4,,0.2,,1.2,,-0.4,,31.7,,65.13977,,68.14729,,49.26397,,37.82797,,119.59546,,31.15166,,49.99905,
1999-08,1339.8,,1284.3,,413.0,,235.9,,509.7,,55.6,,4572.1,,6.9,,3.1,,2.3,,0.5,,0.0,,3.8,,6.4,,65.47585,,68.31376,,49.53900,,37.90808,,119.60516,,33.31679,,50.06911,
1999-09,1348.2,,1287.2,,416.7,,236.1,,509.0,,61.1,,4594.7,,8.4,,2.9,,3.7,,0.2,,-0.7,,5.5,,10.9,,65.88728,,68.46951,,49.98743,,37.94676,,119.43983,,36.60837,,50.18829,
1999-10,1355.0,,1291.4,,416.8,,241.7,,507.6,,63.6,,4616.5,,4.8,,2.4,,-0.1,,3.9,,-1.4,,2.5,,17.5,,66.12385,,68.59547,,49.97783,,38.57522,,119.11412,,38.09069,,50.37929,
1999-11,1373.9,,1299.9,,422.5,,246.1,,505.4,,73.9,,4646.1,,18.5,,8.1,,5.5,,4.2,,-2.2,,10.3,,25.4,,67.02437,,69.02779,,50.63295,,39.24472,,118.59399,,44.27125,,50.65616,
1999-12,1363.9,,1288.8,,409.4,,249.1,,501.7,,75.1,,4667.2,,-10.0,,-11.2,,-13.2,,3.0,,-3.6,,1.2,,10.6,,66.53432,,68.43072,,49.05528,,39.71848,,117.73828,,44.98940,,50.77663,
2000-01,1371.0,,1298.5,,430.9,,243.5,,497.2,,72.5,,4713.2,,6.8,,9.5,,21.3,,-5.6,,-4.5,,-2.7,,40.2,,66.86673,,68.93404,,51.60555,,38.82278,,116.68556,,43.39335,,51.21468,
2000-02,1374.9,,1301.4,,438.0,,244.4,,492.7,,73.5,,4736.0,,5.6,,4.6,,7.2,,2.5,,-4.5,,1.0,,24.4,,67.13810,,69.17691,,52.46244,,39.22717,,115.61959,,43.98552,,51.47979,
2000-03,1374.7,,1299.9,,439.7,,246.3,,487.9,,74.8,,4766.0,,-0.4,,-1.7,,1.4,,2.0,,-4.8,,1.3,,26.7,,67.11906,,69.08448,,52.63493,,39.54677,,114.50026,,44.79326,,51.76973,
2000-04,1376.4,,1302.4,,447.8,,244.5,,483.5,,74.0,,4802.8,,1.0,,1.9,,7.8,,-2.0,,-4.4,,-0.9,,19.8,,67.16978,,69.18620,,53.56299,,39.22666,,113.46430,,44.26960,,51.98287,
2000-05,1370.1,,1294.5,,437.8,,250.8,,478.8,,75.6,,4795.4,,-4.8,,-6.4,,-8.7,,6.4,,-4.8,,1.6,,0.3,,66.93739,,68.84775,,52.52658,,40.25697,,112.34959,,45.23191,,51.98622,
2000-06,1362.6,,1288.3,,434.7,,253.6,,473.5,,74.4,,4788.8,,-7.2,,-6.0,,-3.0,,2.8,,-5.2,,-1.2,,-1.7,,66.58743,,68.53119,,52.17238,,40.71294,,111.12588,,44.50726,,51.96785,
2000-07,1356.9,,1282.0,,432.0,,255.1,,468.3,,74.9,,4803.1,,-6.1,,-6.5,,-2.9,,1.1,,-4.8,,0.5,,13.4,,66.29179,,68.18478,,51.82282,,40.89007,,109.99685,,44.78381,,52.11268,
2000-08,1353.8,,1279.4,,431.0,,258.0,,464.1,,74.4,,4828.8,,-3.6,,-3.0,,-1.3,,2.8,,-4.3,,-0.6,,21.2,,66.11737,,68.02506,,51.66885,,41.34039,,108.99785,,44.44458,,52.34299,
2000-09,1349.2,,1278.5,,427.1,,265.4,,459.8,,70.7,,4830.5,,-4.8,,-1.1,,-4.1,,7.3,,-4.2,,-3.8,,-1.3,,65.88138,,67.96753,,51.17502,,42.51033,,108.00280,,42.20338,,52.32865,
2000-10,1349.6,,1276.7,,429.0,,265.9,,455.9,,72.9,,4847.8,,-0.2,,-2.4,,1.6,,0.4,,-4.0,,2.2,,12.0,,65.86976,,67.83995,,51.36195,,42.58153,,107.07006,,43.49481,,52.45844,
2000-11,1350.2,,1279.1,,432.0,,272.2,,450.9,,71.1,,4851.6,,1.2,,2.9,,3.3,,6.4,,-5.0,,-1.8,,9.0,,65.92779,,67.99655,,51.76174,,43.59953,,105.90251,,42.44608,,52.55548,
2000-12,1348.7,,1275.8,,432.1,,272.4,,447.9,,72.9,,4859.2,,-0.5,,-2.5,,0.7,,0.6,,-3.0,,2.0,,24.0,,65.90348,,67.86339,,51.84333,,43.68844,,105.20819,,43.64507,,52.81301,
2001-01,1358.1,,1285.3,,439.2,,279.6,,444.7,,72.8,,5024.5,,8.8,,8.9,,6.9,,6.9,,-3.4,,-0.1,,30.6,,66.33432,,68.33515,,52.66794,,44.79303,,104.39950,,43.61393,,53.15565,
2001-02,1371.5,,1296.6,,449.3,,283.5,,442.6,,74.9,,5049.7,,13.1,,11.1,,9.9,,4.0,,-2.0,,2.1,,24.7,,66.97489,,68.92312,,53.85320,,45.42941,,103.91913,,44.84537,,53.41687,
2001-03,1381.2,,1304.7,,453.7,,288.0,,442.7,,76.6,,5080.0,,9.9,,7.5,,4.0,,4.3,,0.1,,2.3,,26.1,,67.45668,,69.32376,,54.33812,,46.12050,,103.94020,,46.24037,,53.69312,
2001-04,1390.0,,1311.8,,458.3,,290.4,,443.2,,78.2,,5111.8,,8.6,,6.9,,4.3,,2.5,,0.5,,1.6,,30.6,,67.87440,,69.69098,,54.85560,,46.51543,,104.04796,,47.23215,,54.01619,
2001-05,1395.5,,1314.7,,464.7,,288.5,,443.7,,80.8,,5142.0,,4.3,,1.8,,6.0,,-2.6,,0.5,,2.5,,22.0,,68.08482,,69.78841,,55.57035,,46.09733,,104.15840,,48.72718,,54.24920,
2001-06,1409.6,,1327.5,,470.7,,295.4,,445.0,,82.1,,5192.2,,14.2,,12.8,,6.1,,7.0,,1.3,,1.3,,51.3,,68.77545,,70.47048,,56.29817,,47.21227,,104.47309,,49.51503,,54.79078,
2001-07,1414.3,,1328.0,,471.1,,297.2,,445.5,,86.3,,5214.1,,5.3,,0.9,,0.6,,1.9,,0.5,,4.3,,26.0,,69.03278,,70.52016,,56.37533,,47.51233,,104.59210,,52.13124,,55.06501,
2001-08,1424.4,,1333.5,,480.2,,296.4,,446.2,,90.9,,5249.3,,10.3,,6.0,,9.5,,-0.7,,0.7,,4.3,,40.0,,69.53586,,70.83873,,57.51233,,47.40215,,104.75457,,54.73231,,55.48745,
2001-09,1440.2,,1346.8,,494.5,,298.6,,447.7,,93.4,,5296.2,,15.7,,13.3,,14.2,,2.2,,1.5,,2.4,,39.8,,70.30052,,71.54287,,59.21785,,47.74851,,105.11198,,56.18209,,55.90852,
2001-10,1446.5,,1348.4,,498.1,,298.4,,451.3,,98.1,,5334.0,,5.4,,1.5,,3.5,,-0.2,,3.5,,3.9,,37.1,,70.56484,,71.62382,,59.63902,,47.71780,,105.94192,,58.52328,,56.29995,
2001-11,1443.4,,1347.8,,505.8,,296.2,,454.2,,95.6,,5371.2,,-0.1,,-0.8,,7.6,,-2.2,,3.0,,0.7,,39.3,,70.56021,,71.58037,,60.54665,,47.36594,,106.63519,,58.95459,,56.71427,
2001-12,1433.6,,1332.8,,513.7,,292.3,,460.0,,100.9,,5402.9,,-9.8,,-15.0,,7.9,,-3.9,,5.8,,5.2,,31.5,,70.08083,,70.78165,,61.49135,,46.73666,,108.00638,,62.18144,,57.04684,
2002-01,1365.4,,1269.0,,519.4,,286.8,,462.9,,96.4,,5424.8,,-63.7,,-64.0,,5.5,,-5.6,,2.8,,0.3,,25.2,,66.96626,,67.38456,,62.15315,,45.83955,,108.66907,,62.33619,,57.31219,
2002-02,1362.6,,1266.3,,518.4,,285.3,,462.6,,96.3,,5431.5,,-2.8,,-2.7,,-1.0,,-1.4,,-0.3,,-0.1,,6.3,,66.82938,,67.23928,,62.03379,,45.60881,,108.59951,,62.30061,,57.37823,
2002-03,1367.8,,1270.4,,520.0,,286.6,,463.8,,97.4,,5454.0,,5.4,,4.2,,1.7,,1.4,,1.2,,1.1,,24.2,,67.09207,,67.46369,,62.23524,,45.82650,,108.87670,,63.03172,,57.63349,
2002-04,1369.7,,1271.1,,526.7,,286.1,,458.3,,98.6,,5482.9,,2.7,,1.0,,7.0,,-0.5,,-5.5,,1.7,,33.4,,67.22495,,67.51923,,63.06967,,45.75233,,107.59476,,64.10785,,57.98633,
2002-05,1382.0,,1279.0,,534.7,,284.8,,459.4,,103.1,,5523.5,,13.7,,9.1,,8.4,,-0.5,,1.2,,4.6,,46.2,,67.89671,,68.00048,,64.07950,,45.66647,,107.86766,,67.11703,,58.47516,
2002-06,1391.6,,1291.9,,542.5,,289.6,,459.7,,99.7,,5539.1,,9.2,,12.8,,7.7,,4.8,,0.4,,-3.6,,21.6,,68.35021,,68.68189,,65.00251,,46.43012,,107.95011,,64.78278,,58.70315,
2002-07,1397.0,,1295.3,,546.2,,289.2,,459.9,,101.7,,5568.2,,3.4,,3.1,,3.4,,-0.5,,0.2,,0.3,,22.4,,68.51814,,68.84568,,65.41465,,46.34857,,107.98523,,65.00246,,58.94021,
2002-08,1399.0,,1295.4,,546.6,,288.4,,460.4,,103.6,,5606.8,,2.2,,0.2,,0.5,,-0.8,,0.5,,1.9,,38.6,,68.62369,,68.85716,,65.47252,,46.22162,,108.10846,,66.24006,,59.34872,
2002-09,1407.0,,1299.9,,552.6,,285.5,,461.8,,107.1,,5660.7,,7.2,,3.7,,5.7,,-3.4,,1.4,,3.5,,53.5,,68.97917,,69.05453,,66.15189,,45.68175,,108.43932,,68.49991,,59.91521,
2002-10,1421.1,,1310.8,,557.4,,288.7,,464.7,,110.3,,5680.9,,14.1,,10.9,,4.9,,3.2,,2.8,,3.2,,20.7,,69.67167,,69.63534,,66.73276,,46.20152,,109.10464,,70.54117,,60.13411,
2002-11,1431.8,,1321.0,,569.1,,283.6,,468.3,,110.8,,5733.2,,10.9,,10.3,,11.8,,-5.1,,3.6,,0.5,,54.7,,70.20500,,70.18439,,68.14038,,45.39071,,109.96033,,70.88845,,60.71327,
2002-12,1453.1,,1337.9,,582.0,,282.2,,473.8,,115.2,,5767.4,,20.4,,15.1,,12.6,,-0.9,,3.4,,5.2,,30.8,,71.17685,,71.00391,,69.73874,,45.19232,,111.24181,,73.73682,,61.03775,
2003-01,1444.7,,1334.3,,572.1,,284.2,,478.0,,110.4,,5809.2,,-2.9,,-4.0,,-9.6,,1.3,,4.3,,1.1,,54.1,,71.03612,,70.79295,,68.59120,,45.40376,,112.24711,,74.44244,,61.61316,
2003-02,1466.9,,1345.8,,578.3,,286.8,,480.7,,121.1,,5857.4,,22.2,,11.5,,6.2,,2.6,,2.7,,10.7,,48.1,,72.12857,,71.40271,,69.33383,,45.82039,,112.87903,,81.67572,,62.12325,
2003-03,1468.4,,1353.5,,587.2,,283.3,,483.1,,114.9,,5880.1,,1.7,,7.9,,9.0,,-3.4,,2.4,,-6.2,,24.2,,72.21413,,71.82249,,70.41013,,45.27055,,113.43706,,77.51206,,62.38012,
2003-04,1475.2,,1358.9,,594.9,,279.4,,484.6,,116.3,,5957.1,,7.2,,5.7,,7.9,,-3.7,,1.5,,1.5,,75.6,,72.57009,,72.12469,,71.36186,,44.67371,,113.78773,,78.55340,,63.18088,
2003-05,1483.1,,1368.4,,600.0,,282.0,,486.4,,114.7,,5983.1,,11.5,,10.4,,5.7,,2.9,,1.8,,1.1,,35.2,,73.13391,,72.67590,,72.04059,,45.14280,,114.20869,,79.28013,,63.55431,
2003-06,1492.0,,1379.3,,614.8,,276.1,,488.5,,112.7,,5990.4,,8.3,,10.5,,14.5,,-6.1,,2.1,,-2.1,,15.8,,73.54538,,73.23166,,73.77848,,44.17183,,114.69176,,77.81469,,63.72349,
2003-07,1486.1,,1373.1,,609.9,,272.2,,490.9,,113.0,,6028.8,,-5.7,,-6.2,,-4.9,,-3.8,,2.5,,0.5,,36.8,,73.26353,,72.90317,,73.18933,,43.57020,,115.27486,,78.13851,,64.11539,
2003-08,1486.5,,1382.1,,615.0,,273.0,,494.0,,104.4,,6054.7,,-0.3,,8.4,,4.7,,0.7,,3.1,,-8.7,,20.9,,73.24731,,73.35001,,73.74844,,43.67539,,116.00247,,72.09019,,64.33812,
2003-09,1484.4,,1376.8,,620.4,,260.8,,495.7,,107.6,,6057.1,,-1.0,,-4.5,,6.0,,-12.0,,1.6,,3.4,,11.1,,73.19601,,73.11384,,74.46247,,41.75279,,116.38131,,74.44458,,64.45574,
2003-10,1488.7,,1378.6,,625.1,,255.9,,497.6,,110.1,,6110.4,,4.2,,1.7,,4.6,,-4.9,,1.9,,2.5,,52.3,,73.40307,,73.20152,,75.02034,,40.96708,,116.82995,,76.20802,,65.01228,
2003-11,1498.9,,1385.2,,630.2,,255.5,,499.5,,113.7,,6134.3,,10.6,,7.1,,5.4,,-0.3,,2.0,,3.5,,20.9,,73.92493,,73.58023,,75.67255,,40.92426,,117.29098,,78.59650,,65.23512,
2003-12,1501.4,,1382.6,,630.0,,251.7,,501.0,,118.7,,6148.8,,3.4,,-1.8,,0.3,,-3.6,,1.5,,5.2,,16.5,,74.09228,,73.48344,,75.70896,,40.35118,,117.63253,,82.20216,,65.41167,
2004-01,1499.8,,1385.6,,638.3,,244.6,,502.7,,114.2,,6165.3,,-2.0,,2.6,,8.1,,-7.2,,1.7,,-4.6,,15.7,,73.99417,,73.62157,,76.67846,,39.19709,,118.03874,,79.02608,,65.57814,
2004-02,1500.9,,1390.6,,644.1,,242.9,,503.6,,110.4,,6201.8,,1.2,,5.1,,6.7,,-2.5,,0.9,,-3.8,,38.0,,74.05446,,73.89064,,77.48661,,38.79414,,118.23855,,76.36822,,65.98205,
2004-03,1507.1,,1396.3,,647.5,,244.5,,504.3,,110.8,,6232.6,,5.8,,5.4,,3.1,,1.5,,0.8,,0.3,,29.6,,74.33870,,74.17838,,77.86469,,39.03696,,118.41487,,76.60762,,66.29659,
