"",BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A_FLAGS
1999-06,8.00,,5.08,,2.92,,2.24,,0.68,
1999-07,7.66,,5.18,,2.48,,1.89,,0.59,
1999-08,7.96,,4.99,,2.97,,2.26,,0.71,
1999-09,7.99,,4.94,,3.05,,2.36,,0.69,
1999-10,7.61,,5.07,,2.54,,2.04,,0.50,
1999-11,7.59,,4.74,,2.85,,2.16,,0.69,
1999-12,6.76,,4.38,,2.38,,1.75,,0.63,
2000-01,7.91,,5.13,,2.78,,2.07,,0.71,
2000-02,6.99,,4.51,,2.48,,1.86,,0.62,
2000-03,7.45,,4.53,,2.92,,2.27,,0.65,
2000-04,6.91,,4.15,,2.76,,1.88,,0.88,
2000-05,6.77,,4.11,,2.66,,2.10,,0.56,
2000-06,6.84,,3.95,,2.89,,2.19,,0.70,
2000-07,6.69,,4.03,,2.66,,2.10,,0.56,
2000-08,6.55,,3.96,,2.59,,2.03,,0.56,
2000-09,6.94,,3.84,,3.10,,2.29,,0.81,
2000-10,6.08,,3.63,,2.45,,1.93,,0.52,
2000-11,6.33,,3.59,,2.74,,2.18,,0.56,
2000-12,5.91,,3.35,,2.56,,2.00,,0.56,
2001-01,6.04,,3.36,,2.68,,2.08,,0.60,
2001-02,6.58,,3.72,,2.86,,2.25,,0.61,
2001-03,6.63,,3.59,,3.04,,2.25,,0.79,
2001-04,6.62,,3.65,,2.97,,2.31,,0.66,
2001-05,6.62,,3.79,,2.83,,2.03,,0.80,
2001-06,6.18,,3.67,,2.51,,1.88,,0.63,
2001-07,6.52,,3.75,,2.77,,2.22,,0.55,
2001-08,5.98,,3.46,,2.52,,2.11,,0.41,
2001-09,5.82,,3.38,,2.44,,1.83,,0.61,
2001-10,6.32,,3.46,,2.86,,2.23,,0.63,
2001-11,6.08,,3.15,,2.93,,2.27,,0.66,
2001-12,5.37,,2.90,,2.47,,1.96,,0.51,
2002-01,6.28,,3.57,,2.71,,2.04,,0.67,
2002-02,6.43,,3.57,,2.86,,2.16,,0.70,
2002-03,5.66,,3.31,,2.35,,1.73,,0.62,
2002-04,6.22,,3.51,,2.71,,2.04,,0.67,
2002-05,5.80,,3.38,,2.42,,1.78,,0.64,
2002-06,5.67,,3.40,,2.27,,1.65,,0.62,
2002-07,5.81,,3.35,,2.46,,1.82,,0.64,
2002-08,5.26,,3.13,,2.13,,1.55,,0.58,
2002-09,5.42,,3.15,,2.27,,1.76,,0.51,
2002-10,5.50,,2.99,,2.51,,1.99,,0.52,
2002-11,5.54,,3.18,,2.36,,1.75,,0.61,
2002-12,6.77,,4.49,,2.28,,1.68,,0.60,
2003-01,7.77,,5.43,,2.34,,1.75,,0.59,
2003-02,6.42,,4.25,,2.17,,1.63,,0.54,
2003-03,6.19,,4.00,,2.19,,1.62,,0.57,
2003-04,5.70,,3.68,,2.02,,1.51,,0.51,
2003-05,6.21,,3.49,,2.72,,2.19,,0.53,
2003-06,6.01,,3.46,,2.55,,1.95,,0.60,
2003-07,5.24,,3.25,,1.99,,1.57,,0.42,
2003-08,5.27,,3.22,,2.05,,1.50,,0.55,
2003-09,5.19,,3.16,,2.03,,1.50,,0.53,
2003-10,5.25,,3.31,,1.94,,1.34,,0.60,
2003-11,5.43,,3.39,,2.04,,1.46,,0.58,
2003-12,6.30,,4.19,,2.11,,1.49,,0.62,
2004-01,7.01,,5.07,,1.94,,1.48,,0.46,
2004-02,6.50,,4.43,,2.07,,1.46,,0.61,
2004-03,6.05,,4.07,,1.98,,1.42,,0.56,
2004-04,5.31,,3.41,,1.90,,1.35,,0.55,
2004-05,5.00,,3.09,,1.91,,1.42,,0.49,
2004-06,5.05,,2.94,,2.11,,1.58,,0.53,
2004-07,4.58,,2.69,,1.89,,1.29,,0.60,
2004-08,4.65,,2.77,,1.88,,1.37,,0.51,
2004-09,4.61,,2.72,,1.89,,1.38,,0.51,
2004-10,4.77,,2.77,,2.00,,1.35,,0.65,
2004-11,4.72,,2.88,,1.84,,1.38,,0.46,
2004-12,4.71,,2.82,,1.89,,1.49,,0.40,
2005-01,5.32,,3.46,,1.86,,1.43,,0.43,
2005-02,4.74,,2.91,,1.83,,1.44,,0.39,
2005-03,5.00,,2.79,,2.21,,1.39,,0.82,
2005-04,4.43,,2.68,,1.75,,1.25,,0.50,
2005-05,4.57,,2.72,,1.85,,1.36,,0.49,
2005-06,4.41,,2.76,,1.65,,1.21,,0.44,
2005-07,4.53,,2.74,,1.79,,1.26,,0.53,
2005-08,4.72,,2.82,,1.90,,1.38,,0.52,
2005-09,4.96,,2.96,,2.00,,1.42,,0.58,
2005-10,4.80,,2.79,,2.01,,1.53,,0.48,
2005-11,5.13,,3.13,,2.00,,1.43,,0.57,
2005-12,5.24,,3.39,,1.85,,1.28,,0.57,
2006-01,6.44,,4.54,,1.90,,1.35,,0.55,
2006-02,5.89,,3.86,,2.03,,1.49,,0.54,
2006-03,5.86,,3.65,,2.21,,1.74,,0.47,
2006-04,5.44,,3.25,,2.19,,1.73,,0.46,
2006-05,5.15,,3.10,,2.05,,1.52,,0.53,
2006-06,4.93,,2.83,,2.10,,1.55,,0.55,
2006-07,5.12,,2.93,,2.19,,1.74,,0.45,
2006-08,4.91,,2.80,,2.11,,1.62,,0.49,
2006-09,4.77,,2.67,,2.10,,1.68,,0.42,
2006-10,4.56,,2.51,,2.05,,1.60,,0.45,
2006-11,4.37,,2.42,,1.95,,1.59,,0.36,
2006-12,4.19,,2.21,,1.98,,1.52,,0.46,
2007-01,4.20,,2.10,,2.10,,1.70,,0.40,
2007-02,3.93,,1.97,,1.96,,1.49,,0.47,
2007-03,3.92,,2.06,,1.86,,1.42,,0.44,
2007-04,5.18,,2.35,,2.83,,2.34,,0.49,
2007-05,4.62,,2.41,,2.21,,1.72,,0.49,
2007-06,4.45,,2.33,,2.12,,1.70,,0.42,
2007-07,4.78,,2.40,,2.38,,1.81,,0.57,
2007-08,4.55,,2.23,,2.32,,1.89,,0.43,
2007-09,5.04,,2.46,,2.58,,1.93,,0.65,
2007-10,4.50,,2.28,,2.22,,1.73,,0.49,
2007-11,5.32,,2.32,,3.00,,2.17,,0.83,
2007-12,4.69,,2.28,,2.41,,1.97,,0.44,
2008-01,4.62,,2.18,,2.44,,1.83,,0.61,
2008-02,4.81,,2.23,,2.58,,2.18,,0.40,
2008-03,4.85,,2.19,,2.66,,2.15,,0.51,
2008-04,5.12,,2.37,,2.75,,2.28,,0.47,
2008-05,5.10,,2.25,,2.85,,1.89,,0.96,
2008-06,5.28,,2.32,,2.96,,2.28,,0.68,
2008-07,5.04,,2.33,,2.71,,2.21,,0.50,
2008-08,4.79,,2.17,,2.62,,2.13,,0.49,
2008-09,4.66,,2.18,,2.48,,1.93,,0.55,
2008-10,4.90,,2.23,,2.67,,2.11,,0.56,
2008-11,4.82,,2.06,,2.76,,1.90,,0.86,
2008-12,4.71,,2.06,,2.65,,2.10,,0.55,
2009-01,5.17,,2.20,,2.97,,2.12,,0.85,
2009-02,4.43,,1.94,,2.49,,1.80,,0.69,
2009-03,4.72,,2.13,,2.59,,1.80,,0.79,
2009-04,4.87,,2.30,,2.57,,1.67,,0.90,
2009-05,4.93,,2.42,,2.51,,1.67,,0.84,
2009-06,4.75,,2.32,,2.43,,1.57,,0.86,
2009-07,4.95,,2.45,,2.50,,1.64,,0.86,
2009-08,5.13,,2.49,,2.64,,1.76,,0.88,
2009-09,4.71,,2.44,,2.27,,1.41,,0.86,
2009-10,5.35,,2.58,,2.77,,1.74,,1.03,
2009-11,5.07,,2.48,,2.59,,1.53,,1.06,
2009-12,5.27,,2.39,,2.88,,1.61,,1.27,
2010-01,4.58,,2.23,,2.35,,1.40,,0.95,
2010-02,4.85,,2.29,,2.56,,1.52,,1.04,
2010-03,4.71,,2.28,,2.43,,1.43,,1.00,
2010-04,4.70,,2.22,,2.48,,1.57,,0.91,
2010-05,4.76,,2.43,,2.33,,1.55,,0.78,
2010-06,4.96,,2.70,,2.26,,1.50,,0.76,
2010-07,5.05,,2.71,,2.34,,1.57,,0.77,
2010-08,5.13,,2.81,,2.32,,1.58,,0.74,
2010-09,5.10,,2.69,,2.41,,1.65,,0.76,
2010-10,5.05,,2.72,,2.33,,1.63,,0.70,
2010-11,5.13,,2.85,,2.28,,1.58,,0.70,
2010-12,4.53,,2.29,,2.24,,1.54,,0.70,
2011-01,5.24,,2.83,,2.41,,1.70,,0.71,
2011-02,5.60,,2.97,,2.63,,1.87,,0.76,
2011-03,5.78,,3.16,,2.62,,1.90,,0.72,
2011-04,5.38,,3.01,,2.37,,1.66,,0.71,
2011-05,5.62,,3.10,,2.52,,1.80,,0.72,
2011-06,5.60,,3.11,,2.49,,1.86,,0.63,
2011-07,5.18,,3.06,,2.12,,1.59,,0.53,
2011-08,5.43,,3.11,,2.32,,1.72,,0.60,
2011-09,5.70,,3.09,,2.61,,1.88,,0.73,
2011-10,6.09,,3.12,,2.97,,2.31,,0.66,
2011-11,6.04,,3.19,,2.85,,2.23,,0.62,
2011-12,6.15,,3.24,,2.91,,2.26,,0.65,
2012-01,5.19,,2.63,,2.56,,1.98,,0.58,
2012-02,5.45,,2.94,,2.51,,1.99,,0.52,
2012-03,5.62,,3.21,,2.41,,1.82,,0.59,
2012-04,5.50,,3.05,,2.45,,1.94,,0.51,
2012-05,6.41,,3.56,,2.85,,2.17,,0.68,
2012-06,6.52,,3.61,,2.91,,2.24,,0.67,
2012-07,6.20,,3.43,,2.77,,2.10,,0.67,
2012-08,5.86,,3.41,,2.45,,1.90,,0.55,
2012-09,5.92,,3.48,,2.44,,1.76,,0.68,
2012-10,5.88,,3.32,,2.56,,1.86,,0.70,
2012-11,5.98,,3.24,,2.74,,2.06,,0.68,
2012-12,5.82,,3.31,,2.51,,1.79,,0.72,
2013-01,6.37,,3.32,,3.05,,2.17,,0.88,
2013-02,6.27,,3.42,,2.85,,1.80,,1.05,
2013-03,6.20,,3.47,,2.73,,1.96,,0.77,
2013-04,6.56,,3.81,,2.75,,1.95,,0.80,
2013-05,6.15,,3.58,,2.57,,1.82,,0.75,
2013-06,6.08,,3.57,,2.51,,1.94,,0.57,
2013-07,7.02,,4.04,,2.98,,2.08,,0.90,
2013-08,6.36,,3.66,,2.70,,1.93,,0.77,
2013-09,6.97,,4.00,,2.97,,2.22,,0.75,
2013-10,6.48,,3.63,,2.85,,1.94,,0.91,
2013-11,6.19,,3.68,,2.51,,1.89,,0.62,
2013-12,6.07,,3.55,,2.52,,2.03,,0.49,
2014-01,6.75,,3.93,,2.82,,2.08,,0.74,
2014-02,6.84,,3.81,,3.03,,2.42,,0.61,
2014-03,6.56,,3.80,,2.76,,2.18,,0.58,
2014-04,6.91,,3.91,,3.00,,2.09,,0.91,
2014-05,6.61,,3.94,,2.67,,2.02,,0.65,
2014-06,6.21,,3.80,,2.41,,1.85,,0.56,
2014-07,6.68,,3.95,,2.73,,2.11,,0.62,
2014-08,6.72,,4.02,,2.70,,2.04,,0.66,
2014-09,6.23,,3.88,,2.35,,1.81,,0.54,
2014-10,6.69,,3.95,,2.74,,2.10,,0.64,
2014-11,6.43,,3.84,,2.59,,1.92,,0.67,
2014-12,6.11,,3.77,,2.34,,1.71,,0.63,
2015-01,6.20,,3.76,,2.44,,1.80,,0.64,
2015-02,6.72,,4.04,,2.68,,1.77,,0.91,
2015-03,7.21,,4.03,,3.18,,2.32,,0.86,
2015-04,6.65,,4.02,,2.63,,2.00,,0.63,
2015-05,6.59,,4.08,,2.51,,1.96,,0.55,
2015-06,6.67,,4.07,,2.60,,1.97,,0.63,
2015-07,6.54,,4.24,,2.30,,1.79,,0.51,
2015-08,7.18,,4.42,,2.76,,2.04,,0.72,
2015-09,7.24,,4.45,,2.79,,2.15,,0.64,
2015-10,7.42,,4.74,,2.68,,1.98,,0.70,
2015-11,7.35,,4.55,,2.80,,2.15,,0.65,
2015-12,7.56,,4.56,,3.00,,2.28,,0.72,
2016-01,7.85,,5.11,,2.74,,2.05,,0.69,
2016-02,8.63,,5.11,,3.52,,2.79,,0.73,
2016-03,8.57,,5.04,,3.53,,2.58,,0.95,
2016-04,8.23,,4.82,,3.41,,2.47,,0.94,
2016-05,7.89,,4.72,,3.17,,2.36,,0.81,
2016-06,7.98,,4.82,,3.16,,2.32,,0.84,
2016-07,7.35,,4.69,,2.66,,1.88,,0.78,
2016-08,7.73,,4.62,,3.11,,2.37,,0.74,
2016-09,8.42,,4.86,,3.56,,2.56,,1.00,
2016-10,8.19,,4.96,,3.23,,2.48,,0.75,
2016-11,8.81,,5.14,,3.67,,2.80,,0.87,
2016-12,8.19,,4.91,,3.28,,2.44,,0.84,
2017-01,7.58,,4.59,,2.99,,2.33,,0.66,
2017-02,8.33,,4.94,,3.39,,2.52,,0.87,
2017-03,7.77,,4.76,,3.01,,2.23,,0.78,
2017-04,8.15,,4.91,,3.24,,2.35,,0.89,
2017-05,7.90,,4.93,,2.97,,2.15,,0.82,
2017-06,8.80,,4.97,,3.83,,2.82,,1.01,
2017-07,8.29,,4.90,,3.39,,2.54,,0.85,
2017-08,8.71,,4.90,,3.81,,2.83,,0.98,
2017-09,8.13,,4.80,,3.33,,2.43,,0.90,
2017-10,8.37,,5.18,,3.19,,2.34,,0.85,
2017-11,8.18,,4.76,,3.42,,2.34,,1.08,
2017-12,9.17,,5.12,,4.05,,3.12,,0.93,
2018-01,8.49,,4.84,,3.65,,2.71,,0.94,
2018-02,8.39,,5.13,,3.26,,2.53,,0.73,
2018-03,9.00,,5.18,,3.82,,2.85,,0.97,
2018-04,9.91,,5.10,,4.81,,3.27,,1.54,
2018-05,9.13,,5.45,,3.68,,2.84,,0.84,
2018-06,8.40,,4.81,,3.59,,2.76,,0.83,
2018-07,9.30,,5.55,,3.75,,2.90,,0.85,
2018-08,8.88,,5.12,,3.76,,2.89,,0.87,
2018-09,9.21,,5.36,,3.85,,2.84,,1.01,
2018-10,8.18,,4.78,,3.40,,2.53,,0.87,
2018-11,8.22,,4.82,,3.40,,2.51,,0.89,
2018-12,9.48,,5.48,,4.00,,2.93,,1.07,
2019-01,9.31,,5.47,,3.84,,2.84,,1.00,
2019-02,8.73,,5.10,,3.63,,2.71,,0.92,
2019-03,8.60,,5.13,,3.47,,2.42,,1.05,
2019-04,8.86,,5.37,,3.49,,2.59,,0.90,
2019-05,8.95,,5.18,,3.77,,2.88,,0.89,
2019-06,9.75,,5.30,,4.45,,2.87,,1.58,
2019-07,9.59,,5.41,,4.18,,2.87,,1.31,
2019-08,10.40,,5.63,,4.77,,3.49,,1.28,
2019-09,9.97,,5.68,,4.29,,3.07,,1.22,
2019-10,9.97,,5.63,,4.34,,2.99,,1.35,
2019-11,10.46,,5.92,,4.54,,3.50,,1.04,
2019-12,10.58,,6.36,,4.22,,3.05,,1.17,
2020-01,10.13,,5.64,,4.49,,3.13,,1.36,
2020-02,9.96,,5.42,,4.54,,3.23,,1.31,
2020-03,9.42,,5.57,,3.85,,2.67,,1.18,
2020-04,9.90,,5.67,,4.23,,3.00,,1.23,
2020-05,10.03,,5.64,,4.39,,3.01,,1.38,
2020-06,10.06,,5.92,,4.14,,2.98,,1.16,
2020-07,9.33,,5.60,,3.73,,2.56,,1.17,
2020-08,9.83,,5.93,,3.90,,2.76,,1.14,
2020-09,9.74,,5.82,,3.92,,2.86,,1.06,
2020-10,10.74,,6.05,,4.69,,3.31,,1.38,
2020-11,10.88,,6.60,,4.28,,3.17,,1.11,
2020-12,10.10,,6.17,,3.93,,2.92,,1.01,
2021-01,11.17,,6.74,,4.43,,3.32,,1.11,
2021-02,11.32,,7.28,,4.04,,2.58,,1.46,
2021-03,12.34,,7.94,,4.40,,3.10,,1.30,
2021-04,9.88,,5.82,,4.06,,2.86,,1.20,
2021-05,10.47,,6.08,,4.39,,3.19,,1.20,
2021-06,9.79,,6.04,,3.75,,2.79,,0.96,
2021-07,10.65,,6.08,,4.57,,3.56,,1.01,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
